trial_id,avg,std,best_seed_score,seeds,hidden_dims,optimizer,lr,buffer_size,batch_size,exploration_noise_ratio,n_warmup_batches,target_update_every,tau
trial_001,37.712724,0.000000,37.712724,"[29]","(256, 256)",Adam,0.0005,100000,500,0.05,5,5,0.01
trial_002,27.164665,0.000000,27.164665,"[29]","(64, 64)",Adam,0.0005,100000,500,0.1,5,10,0.01
trial_003,33.072703,0.000000,33.072703,"[29]","(256, 256)",Adam,0.0005,100000,500,0.1,5,5,0.01
trial_004,35.301854,0.000000,35.301854,"[29]","(128, 128)",Adam,0.0001,100000,128,0.1,10,10,0.005
trial_005,28.226741,0.000000,28.226741,"[29]","(64, 64)",Adam,0.0005,100000,128,0.1,5,5,0.005
trial_006,36.359344,0.000000,36.359344,"[29]","(64, 64)",Adam,0.0003,100000,256,0.05,5,10,0.01
trial_007,31.502992,0.000000,31.502992,"[29]","(64, 64)",Adam,0.0003,100000,64,0.2,10,10,0.01
trial_008,35.855739,0.000000,35.855739,"[29]","(64, 64)",Adam,0.0001,100000,500,0.2,5,5,0.01
trial_009,34.599208,0.000000,34.599208,"[29]","(256, 256)",Adam,0.0005,100000,500,0.05,5,2,0.001
trial_010,37.628834,0.000000,37.628834,"[29]","(256, 256)",Adam,0.0005,100000,128,0.05,10,2,0.001
