2025-12-28 18:45:35,051 | INFO | Logging initialized. Log file: results\continuous_control\run_20251228_184535\run.log
2025-12-28 18:45:35,052 | INFO | Results will be saved to: results\continuous_control\run_20251228_184535
2025-12-28 18:45:35,052 | INFO | Seeds: (29,)
2025-12-28 18:45:35,052 | INFO | Unity exe: C:\Users\anhtu\pyspark\Reinforcement_Learning_Projects\deep-reinforcement-learning-master\p2_continuous-control\20_Agents_Reacher_Windows_x86_64\Reacher.exe
2025-12-28 18:45:35,056 | INFO | Hyperparameter search enabled. Trials to run: 10 (max-trials=10)
2025-12-28 18:45:35,058 | INFO | [trial_001] Starting trial with hparams: {"batch_size":500,"buffer_size":100000,"exploration_noise_ratio":0.05,"hidden_dims":[256,256],"lr":0.0005,"n_warmup_batches":5,"optimizer":"Adam","target_update_every":5,"tau":0.01}
2025-12-28 18:45:35,060 | INFO | [trial_001 | seed 29] Start training with hparams: {"batch_size":500,"buffer_size":100000,"exploration_noise_ratio":0.05,"hidden_dims":[256,256],"lr":0.0005,"n_warmup_batches":5,"optimizer":"Adam","target_update_every":5,"tau":0.01}
2025-12-28 18:45:35,061 | INFO | [trial_001 | seed 29] === Starting run for seed 29 ===
2025-12-28 18:45:35,061 | INFO | [trial_001 | seed 29] Hyperparameters: {"batch_size":500,"buffer_size":100000,"exploration_noise_ratio":0.05,"hidden_dims":[256,256],"lr":0.0005,"n_warmup_batches":5,"optimizer":"Adam","target_update_every":5,"tau":0.01}
2025-12-28 18:45:35,071 | INFO | [trial_001 | seed 29] Launching UnityVectorEnv with worker_id=1029, seed=29
2025-12-28 18:45:35,072 | INFO | [Main] Spawning worker 1029 for Unity env (seed=29). Executable: C:\Users\anhtu\pyspark\Reinforcement_Learning_Projects\deep-reinforcement-learning-master\p2_continuous-control\20_Agents_Reacher_Windows_x86_64\Reacher.exe
2025-12-28 18:45:35,088 | INFO | [Main] Worker 1029 started (pid=45520).
2025-12-28 18:45:43,630 | INFO | [trial_001 | seed 29] Environment batched agents (train): 20
2025-12-28 18:46:22,854 | INFO | [trial_001 | seed 29] Environment batched agents (eval): 20
2025-12-28 18:46:42,358 | INFO | [trial_001 | seed 29] elapsed_time 00:01:07, episode 0000, episode_env_steps 1001, episode_sum_max_reward_per_step 11.920000, episode_sum_max_abs_reward_per_step 11.920000, mean_reward_over_100_episodes_from_training 00.73±00.00, mean_exploration_ratio_over_100_episodes_from_training 0.0152±0.0000, mean_reward_over_100_episodes_from_eval 00.97±00.00
2025-12-28 18:48:07,263 | INFO | [trial_001 | seed 29] elapsed_time 00:02:32, episode 0001, episode_env_steps 1001, episode_sum_max_reward_per_step 12.690000, episode_sum_max_abs_reward_per_step 12.690000, mean_reward_over_100_episodes_from_training 00.75±00.02, mean_exploration_ratio_over_100_episodes_from_training 0.0146±0.0006, mean_reward_over_100_episodes_from_eval 01.55±00.58
2025-12-28 18:49:33,263 | INFO | [trial_001 | seed 29] elapsed_time 00:03:58, episode 0002, episode_env_steps 1001, episode_sum_max_reward_per_step 28.019999, episode_sum_max_abs_reward_per_step 28.019999, mean_reward_over_100_episodes_from_training 01.26±00.72, mean_exploration_ratio_over_100_episodes_from_training 0.0148±0.0005, mean_reward_over_100_episodes_from_eval 01.57±00.48
2025-12-28 18:51:01,332 | INFO | [trial_001 | seed 29] elapsed_time 00:05:26, episode 0003, episode_env_steps 1001, episode_sum_max_reward_per_step 21.960000, episode_sum_max_abs_reward_per_step 21.960000, mean_reward_over_100_episodes_from_training 01.34±00.64, mean_exploration_ratio_over_100_episodes_from_training 0.0148±0.0005, mean_reward_over_100_episodes_from_eval 01.80±00.57
2025-12-28 18:52:22,056 | INFO | [trial_001 | seed 29] elapsed_time 00:06:46, episode 0004, episode_env_steps 1001, episode_sum_max_reward_per_step 28.769999, episode_sum_max_abs_reward_per_step 28.769999, mean_reward_over_100_episodes_from_training 01.58±00.75, mean_exploration_ratio_over_100_episodes_from_training 0.0147±0.0005, mean_reward_over_100_episodes_from_eval 01.96±00.61
2025-12-28 18:53:45,560 | INFO | [trial_001 | seed 29] elapsed_time 00:08:10, episode 0005, episode_env_steps 1001, episode_sum_max_reward_per_step 33.639999, episode_sum_max_abs_reward_per_step 33.639999, mean_reward_over_100_episodes_from_training 01.93±01.03, mean_exploration_ratio_over_100_episodes_from_training 0.0146±0.0005, mean_reward_over_100_episodes_from_eval 02.15±00.69
2025-12-28 18:55:06,173 | INFO | [trial_001 | seed 29] elapsed_time 00:09:31, episode 0006, episode_env_steps 1001, episode_sum_max_reward_per_step 37.529999, episode_sum_max_abs_reward_per_step 37.529999, mean_reward_over_100_episodes_from_training 02.55±01.80, mean_exploration_ratio_over_100_episodes_from_training 0.0146±0.0005, mean_reward_over_100_episodes_from_eval 02.88±01.91
2025-12-28 18:56:25,880 | INFO | [trial_001 | seed 29] elapsed_time 00:10:50, episode 0007, episode_env_steps 1001, episode_sum_max_reward_per_step 39.369999, episode_sum_max_abs_reward_per_step 39.369999, mean_reward_over_100_episodes_from_training 03.42±02.85, mean_exploration_ratio_over_100_episodes_from_training 0.0146±0.0004, mean_reward_over_100_episodes_from_eval 03.84±03.11
2025-12-28 18:57:45,320 | INFO | [trial_001 | seed 29] elapsed_time 00:12:10, episode 0008, episode_env_steps 1001, episode_sum_max_reward_per_step 39.489999, episode_sum_max_abs_reward_per_step 39.489999, mean_reward_over_100_episodes_from_training 04.55±04.18, mean_exploration_ratio_over_100_episodes_from_training 0.0145±0.0005, mean_reward_over_100_episodes_from_eval 05.75±06.13
2025-12-28 18:58:56,009 | INFO | [trial_001 | seed 29] elapsed_time 00:13:20, episode 0009, episode_env_steps 1001, episode_sum_max_reward_per_step 39.669999, episode_sum_max_abs_reward_per_step 39.669999, mean_reward_over_100_episodes_from_training 06.48±07.01, mean_exploration_ratio_over_100_episodes_from_training 0.0146±0.0005, mean_reward_over_100_episodes_from_eval 07.74±08.33
2025-12-28 19:00:22,820 | INFO | [trial_001 | seed 29] elapsed_time 00:14:47, episode 0010, episode_env_steps 1001, episode_sum_max_reward_per_step 39.619999, episode_sum_max_abs_reward_per_step 39.619999, mean_reward_over_100_episodes_from_training 08.57±09.41, mean_exploration_ratio_over_100_episodes_from_training 0.0148±0.0007, mean_reward_over_100_episodes_from_eval 09.69±10.06
2025-12-28 19:01:43,102 | INFO | [trial_001 | seed 29] elapsed_time 00:16:08, episode 0011, episode_env_steps 1001, episode_sum_max_reward_per_step 39.699999, episode_sum_max_abs_reward_per_step 39.699999, mean_reward_over_100_episodes_from_training 10.70±11.44, mean_exploration_ratio_over_100_episodes_from_training 0.0149±0.0008, mean_reward_over_100_episodes_from_eval 11.80±11.92
2025-12-28 19:03:36,558 | INFO | [trial_001 | seed 29] elapsed_time 00:18:01, episode 0012, episode_env_steps 1001, episode_sum_max_reward_per_step 39.619999, episode_sum_max_abs_reward_per_step 39.619999, mean_reward_over_100_episodes_from_training 12.75±13.09, mean_exploration_ratio_over_100_episodes_from_training 0.0151±0.0010, mean_reward_over_100_episodes_from_eval 13.81±13.39
2025-12-28 19:04:55,884 | INFO | [trial_001 | seed 29] elapsed_time 00:19:20, episode 0013, episode_env_steps 1001, episode_sum_max_reward_per_step 39.629999, episode_sum_max_abs_reward_per_step 39.629999, mean_reward_over_100_episodes_from_training 14.58±14.24, mean_exploration_ratio_over_100_episodes_from_training 0.0152±0.0011, mean_reward_over_100_episodes_from_eval 15.56±14.37
2025-12-28 19:06:08,696 | INFO | [trial_001 | seed 29] elapsed_time 00:20:33, episode 0014, episode_env_steps 1001, episode_sum_max_reward_per_step 39.589999, episode_sum_max_abs_reward_per_step 39.589999, mean_reward_over_100_episodes_from_training 16.09±14.88, mean_exploration_ratio_over_100_episodes_from_training 0.0153±0.0011, mean_reward_over_100_episodes_from_eval 17.10±15.03
