2025-12-29 22:50:41,816 | INFO | Logging initialized. Log file: results\continuous_control\run_20251229_225041\run.log
2025-12-29 22:50:41,816 | INFO | Results will be saved to: results\continuous_control\run_20251229_225041
2025-12-29 22:50:41,816 | INFO | Seeds: (33, 41, 66, 39, 8, 77, 21, 20, 44, 22)
2025-12-29 22:50:41,816 | INFO | Unity exe: C:\Users\anhtu\pyspark\Reinforcement_Learning_Projects\deep-reinforcement-learning-master\p2_continuous-control\20_Agents_Reacher_Windows_x86_64\Reacher.exe
2025-12-29 22:50:41,816 | INFO | No hyperparameter search requested; running a single configuration.
2025-12-29 22:50:41,816 | INFO | Using hyperparameters: {"batch_size":500,"buffer_size":100000,"exploration_noise_ratio":0.05,"hidden_dims":[256,256],"lr":0.0005,"n_warmup_batches":5,"optimizer":"Adam","target_update_every":5,"tau":0.01}
2025-12-29 22:50:41,826 | INFO | [default | seed 33] Start training with hparams: {"batch_size":500,"buffer_size":100000,"exploration_noise_ratio":0.05,"hidden_dims":[256,256],"lr":0.0005,"n_warmup_batches":5,"optimizer":"Adam","target_update_every":5,"tau":0.01}
2025-12-29 22:50:41,826 | INFO | [default | seed 33] === Starting run for seed 33 ===
2025-12-29 22:50:41,826 | INFO | [default | seed 33] Hyperparameters: {"batch_size":500,"buffer_size":100000,"exploration_noise_ratio":0.05,"hidden_dims":[256,256],"lr":0.0005,"n_warmup_batches":5,"optimizer":"Adam","target_update_every":5,"tau":0.01}
2025-12-29 22:50:41,830 | INFO | [default | seed 33] Launching UnityVectorEnv with worker_id=33, seed=33
2025-12-29 22:50:41,830 | INFO | [Main] Spawning worker 33 for Unity env (seed=33). Executable: C:\Users\anhtu\pyspark\Reinforcement_Learning_Projects\deep-reinforcement-learning-master\p2_continuous-control\20_Agents_Reacher_Windows_x86_64\Reacher.exe
2025-12-29 22:50:41,851 | INFO | [Main] Worker 33 started (pid=79272).
2025-12-29 22:50:47,250 | INFO | [default | seed 33] Environment batched agents (train): 20
2025-12-29 22:51:20,273 | INFO | [default | seed 33] Environment batched agents (eval): 20
2025-12-29 22:51:36,838 | INFO | [default | seed 33] elapsed_time 00:00:55, episode 0000, episode_env_steps 1001, episode_sum_max_reward_per_step 05.240000, episode_sum_max_abs_reward_per_step 05.240000, mean_reward_over_100_episodes_from_training 00.33±00.00, mean_exploration_ratio_over_100_episodes_from_training 0.0131±0.0000, mean_reward_over_100_episodes_from_eval 00.43±00.00
2025-12-29 22:52:23,878 | INFO | [default | seed 33] elapsed_time 00:01:42, episode 0001, episode_env_steps 1001, episode_sum_max_reward_per_step 21.970000, episode_sum_max_abs_reward_per_step 21.970000, mean_reward_over_100_episodes_from_training 00.97±00.64, mean_exploration_ratio_over_100_episodes_from_training 0.0137±0.0006, mean_reward_over_100_episodes_from_eval 00.92±00.50
